Name,Price,Category,image
FARKRAFT White Donut Vase Ceramic Vase for Pampas Grass Home Decor Items for Living Room Bedroom Accessories Dried Flower ...,4899,Home Furnishing,https://m.media-amazon.com/images/I/61dbkrT-SVL._AC_UL320_.jpg
QROUN CERAMICS Islamic Wall Clock Surah Al Ikhlas Acrylic Islamic Clock | Islamic Wall Art Wall Clock Black and Golden Col...,,Home Furnishing,https://m.media-amazon.com/images/I/61godEcVGVL._AC_UL320_.jpg
"Onlinetree 5 in 1 Rose, Sandal, Loban, Mogra, Pineapple Flavour Fragrance Agarbatti/Incense Sticks/for Pooja/Mandir 900 Gram",4899,Home Furnishing,https://m.media-amazon.com/images/I/71qkP+H5lJL._AC_UL320_.jpg
"SOFIX Beautiful Artificial Pink Flower Pot- 40cm (Pink), Artificial Flora",4899,Home Furnishing,https://m.media-amazon.com/images/I/61IEbQJOGLL._AC_UL320_.jpg
THE NILGIRIS EUCALYPTUS OIL & ESSENTIAL OILS DISTILLERY TNEOEOD Pure and Natural Therapeutic Grade A Ooty Eucalyptus Oil 3...,4800,Home Furnishing,https://m.media-amazon.com/images/I/41YBiNGDfvL._AC_UL320_.jpg
Amazon Brand - Presto! Naphthalene Balls - 200 g (Pack of 10),"48,000",Home Furnishing,https://m.media-amazon.com/images/I/71WJoUNevBL._AC_UL320_.jpg
Collectible India Brass Diya Lamp Lotus Shape -Decorative Akhand Deepak for Pooja - Set of 2 (Gold_3 X 3 X 1.5 Inches),4899,Home Furnishing,https://m.media-amazon.com/images/I/71cOaj+wTvL._AC_UL320_.jpg
Crafts World Wooden Home Decorative Wall Hanging | Printed Designer Wall Hanging | Home Decor | Wall Hanging For Living Ro...,4899,Home Furnishing,https://m.media-amazon.com/images/I/71p+gnPnyAL._AC_UL320_.jpg
"AIR-ROMA Combo of 2 Air Freshener Spray, Fragrance- Rose Original & Jasmine Flower (400ml)",4898,Home Furnishing,https://m.media-amazon.com/images/I/51uuN7mA7+L._AC_UL320_.jpg
"Decals Design 'Green Autumn Leaves Branch' Wall Sticker (PVC Vinyl, 50 cm X 70 cm, Green)",4864,Home Furnishing,https://m.media-amazon.com/images/I/51WytrjUnCL._AC_UL320_.jpg
3V PRODUCTS: Dasangam Powder 50g | Bhuvaneswari Dasangam Dhoop Powder for Pooja & Home,4810,Home Furnishing,https://m.media-amazon.com/images/I/91+zdc8GDDL._AC_UL320_.jpg
Baburao Fridge Magnet- Pack of 1 Bollywood Theme Fridge Magnets,4899,Home Furnishing,https://m.media-amazon.com/images/I/51mvpy6v9rL._AC_UL320_.jpg
HOKIPO Eco-Friendly Bamboo Wooden Coasters for Home Pan Pot Holder for Dining Table Heat Pad for Kitchen - Pack of 4 (AR2...,4849,Home Furnishing,https://m.media-amazon.com/images/I/817QGF--OvL._AC_UL320_.jpg
"DESHABOINA VN Plastic Nazar Suraksha Kawach, Evil Eye Protector, Drishti Bommai, Nazar Battu (Large) for House, Office, Sh...",4899,Home Furnishing,https://m.media-amazon.com/images/I/71DwMZMNJjL._AC_UL320_.jpg
"Litleo Artificial Flowers with Wooden Pot (Yellow, 2 Piece)",4849,Home Furnishing,https://m.media-amazon.com/images/I/81gcdNOfE+S._AC_UL320_.jpg
"Pure Source India Aroma Essential Oils 9 Fragrances In 1 Pack, 10 Ml Each, (Fragrances: Lemon Grass, Lavender, Jasmine, Ro...",4899,Home Furnishing,https://m.media-amazon.com/images/I/91j6dTfEGnL._AC_UL320_.jpg
Borosil Medium Brass Diffuser (Multicolour) (HDDBBSP0100),4895,Home Furnishing,https://m.media-amazon.com/images/I/6108lemNjyL._AC_UL320_.jpg
TIED RIBBONS Green Ficus Artificial Plant with Pot Stand (1 Feet) Natural Looking Artificial Plants for Home Decor Living ...,"48,749",Home Furnishing,https://m.media-amazon.com/images/I/71j2Td5nHLL._AC_UL320_.jpg
Loop Group  Wooden Tabletop Makeup Mirror Vanity Table Stand Mirror Swivel Bamboo Mirror for Bedroom Bathroom Desk (Squar...,"48,600",Home Furnishing,https://m.media-amazon.com/images/I/61+uPKVnuAL._AC_UL320_.jpg
Shri Kanth Art Multi Plate Wooden Wall Hanging | Wall Hanger for HomeDecor |Wall Art | Gifts | Office | Wooden Home Decor ...,4899,Home Furnishing,https://m.media-amazon.com/images/I/61ODS0vfpNL._AC_UL320_.jpg
CraftVatika Ganesh Idol Murti Statue for Car Dashboard Gift Lord Ganesha Ganpati Idols Showpiece Figurine for Home Pooja R...,4899,Home Furnishing,https://m.media-amazon.com/images/I/71RcgSvkUmL._AC_UL320_.jpg
"SN Handicrafts Stone Adiyogi Shiva Mahadev Murti for Car Dashboard, Pooja, Home and Office Decor - 5.35 inch (Matte Black,...",4899,Home Furnishing,https://m.media-amazon.com/images/I/51DLABxQmWL._AC_UL320_.jpg
"Ikea Digital Multi Purpose ABS plastic Alarm Clock for Bedroom, Has Thermometer, Timer, Alarm (White)",4811,Home Furnishing,https://m.media-amazon.com/images/I/314TVRbVwXL._AC_UL320_.jpg
VRB DecTM Artificial Greenery Ferns Plants Vines Fake Ivy Hanging Flowers Vine Pine Needle Wall Hanging for Home Decor Doo...,"48,249",Home Furnishing,https://m.media-amazon.com/images/I/71irKocKsRL._AC_UL320_.jpg
"PUTHAK Plastic Mallow Vase for Flowers, Unbreakable Vase, 8.5X3.5Inch Ceramic Look Flower Vase, Decorative Modern Floral V...",4899,Home Furnishing,https://m.media-amazon.com/images/I/61NbqCNCi5L._AC_UL320_.jpg
"BUYERZONE WITH BZ LOGO BUYERZONE Smart Night Light Plastic Digital Alarm Clock with Date & Indoor Temperature, Battery Ope...",4899,Home Furnishing,https://m.media-amazon.com/images/I/416xPg8QGdL._AC_UL320_.jpg
"ArtX Paper Motivational Wall Frames Quotes Wall Art Painting, Framed Paintings For Home Office Decor, 20 X 20 inches (Comb...","48,399",Home Furnishing,https://m.media-amazon.com/images/I/612KGOdwW-S._AC_UL320_.jpg
Odonil Bathroom Air Freshener Blocks - 150g (75g*2) | Long Lasting Fragrance,4824,Home Furnishing,https://m.media-amazon.com/images/I/71LIagxqFAL._AC_UL320_.jpg
"VAH-Kya Bat Hai !! Moment Photo Frame Black Colour Self Adhesive Wall Hanging for Bed Room, Living Room, Birthday, him wit...","48,999",Home Furnishing,https://m.media-amazon.com/images/I/61EM0y184zL._AC_UL320_.jpg
"Plus Value Feng Shui Golden Arowana Fish Strong Wealth Symbol & Protects Mishaps, Troubles Vastu Products Home & Office, F...","48,500",Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71y5MBbmK5L._AC_UL320_.jpg
